Label,Min,Average,90% Line,Max,# Samples,failure,TEST
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_S,16.936,17.866,18.815,18.815,4,0,TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_S
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_L,0.963,1.805,2.027,2.382,14,0,TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_L
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_XXL,15.983,17.064,17.606,18.037,7,0,TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_XXL
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_M,1.804,2.392,2.974,3.1,6,0,TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_M
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_S,1.856,1.92,2.099,2.099,4,0,TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_S
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_L,1.603,2.236,3.195,4.123,13,0,TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_L
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_XXL,1.687,1.851,2.003,2.089,7,0,TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_XXL
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_M,1.672,1.913,2.136,2.161,6,0,TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_M
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_S,1.766,1.834,2.014,2.014,4,0,TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_S
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_L,1.653,2.34,3.56,5.239,13,0,TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_L
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_XXL,1.678,2.211,2.587,3.059,7,0,TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_XXL
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_M,1.901,1.952,2.013,2.037,6,0,TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_M
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_S,1.727,1.854,1.907,1.907,4,0,TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_S
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_L,4.325,5.137,6.494,7.185,13,0,TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_L
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_XXL,1.82,2.13,2.207,3.193,7,0,TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_XXL
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_M,4.448,4.784,4.795,5.34,6,0,TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_M
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_S,4.279,4.885,5.372,5.372,4,0,TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_S
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_L,1.163,1.33,1.488,1.59,13,0,TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_L
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_XXL,4.419,5.06,5.638,5.885,7,0,TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_XXL
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_M,1.208,1.301,1.362,1.47,6,0,TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_M
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_S,1.23,1.284,1.394,1.394,4,0,TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_S
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_L,3.013,3.414,3.99,4.802,13,0,TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_L
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_XXL,1.189,1.287,1.321,1.497,7,0,TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_XXL
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_M,3.161,3.444,3.493,4.135,6,0,TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_M
TC01_ExternalLogin_01F_CredSignIn_Dasboard__XL,0.001,1.201,3.874,4.28,33,0,TC01_ExternalLogin_01F_CredSignIn_Dasboard__XL
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_S,3.349,3.794,4.811,4.811,4,0,TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_S
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_L,1.041,2.213,2.144,5.098,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_L
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_L,1.213,1.572,2.188,3.535,13,0,TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_L
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_XXL,2.978,3.53,4.054,4.426,7,0,TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_XXL
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_M,1.338,2.168,2.378,4.565,6,0,TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_M
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_S,1.205,1.416,1.543,1.543,4,0,TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_S
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_XL,0.588,2.912,5.684,5.684,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_XL
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_L,0.861,1.217,1.626,1.633,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_L
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_L,5.976,7.024,8.088,9.361,13,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_L
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_XXL,1.242,1.553,1.664,2.188,7,0,TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_XL,0.64,0.943,1.13,1.13,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_XL
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_M,6.019,7.325,7.815,10.184,6,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_M
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_XXL,0.58,1.564,1.589,4.824,7,0,TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_XXL
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_S,6.286,6.817,7.17,7.17,4,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_S
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_L,3.203,4.136,4.104,5.862,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_L
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_M,0.541,1.602,2.054,4.508,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_M
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_L,3.623,4.332,5.067,5.193,13,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_L
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_XXL,6.019,6.522,6.786,7.191,7,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_XL,3.425,4.039,5.127,5.127,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_XL
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_S,0.607,1.179,2.117,2.117,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_S
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_XXL,0.993,1.329,1.546,1.791,7,0,TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_XXL
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_M,3.994,4.661,5.197,5.265,6,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_M
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_L,1.663,2.047,2.075,2.834,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_L
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_S,3.977,4.388,4.829,4.829,4,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_S
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_M,0.666,0.961,1.244,1.421,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_M
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_L,1.539,2.096,2.901,3.39,13,0,TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_L
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_S,0.629,1.843,4.358,4.358,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_S
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_XL,1.683,1.832,2.098,2.098,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_XL
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_M,1.36,1.73,2.02,2.101,6,0,TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_M
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_XXL,3.897,4.55,4.862,5.073,7,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_XXL,2.023,3.781,4.904,4.981,7,0,TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_XXL
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_S,1.77,1.983,2.318,2.318,4,0,TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_S
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_M,3.173,3.995,4.443,5.214,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_M
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_L,2.838,5.735,6.021,28.033,13,0,TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_L
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_L,14.356,14.689,15.056,15.144,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_L
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_S,2.647,3.906,6.121,6.121,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_S
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_XXL,1.571,1.88,1.966,2.289,7,0,TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_XXL
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_M,3.13,3.768,4.185,4.428,6,0,TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_M
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_XXL,1.812,3.494,5.491,5.931,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_XXL
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_S,3.181,4.127,5.315,5.315,4,0,TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_S
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_M,1.6,1.863,1.887,2.35,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_M
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_XL,14.865,15.516,16.508,16.508,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_XL
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_L,0.609,0.776,0.966,0.997,13,0,TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_L
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_L,1.895,2.408,3.019,3.196,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_L
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_S,1.686,1.847,1.949,1.949,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_S
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_M,0.611,0.906,0.815,1.869,6,0,TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_M
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_XXL,2.976,4.167,5.368,6.475,7,0,TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_XXL
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_S,0.696,0.828,1.094,1.094,4,0,TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_S
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_XL,2.068,2.138,2.179,2.179,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_XL
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_XXL,14.463,16.555,17.081,18.472,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_L,2.866,3.379,3.953,4.113,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_L
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_M,13.977,15.638,15.315,19.923,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_M
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_L,7.566,8.214,9.823,9.844,13,0,TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_L
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_XXL,0.603,0.917,1.264,1.359,7,0,TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_XXL
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_M,7.622,7.882,7.919,8.804,6,0,TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_M
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_S,14.469,17.292,20.295,20.295,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_S
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_S,7.294,7.676,8.217,8.217,4,0,TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_S
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_XL,3.129,3.574,4.402,4.402,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_XL
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_XXL,1.916,2.127,2.143,2.453,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_M,1.899,2.141,2.264,2.346,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_M
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_L,2.285,2.981,2.954,4.163,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_L
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_XXL,7.356,7.987,8.202,9.324,7,0,TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_S,2.281,2.847,3.867,3.867,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_S
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_XL,2.291,8.191,24.839,24.839,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_XL
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_XXL,2.936,7.364,4.893,26.141,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_M,2.96,4.581,4.532,9.132,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_M
TC06_PCG_External_QuoteNewCustomer_PEL_13b_Details_ClickNext_L,4.947,6.061,6.213,8.652,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_13b_Details_ClickNext_L
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_S,3.101,3.277,3.59,3.59,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_S
TC06_PCG_External_QuoteNewCustomer_PEL_13b_Details_ClickNext_XL,4.906,5.367,5.725,5.725,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_13b_Details_ClickNext_XL
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_XXL,2.305,4.595,5.087,12.217,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_M,2.425,2.662,2.816,3.128,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_M
TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_L,2.58,3.873,3.78,6.255,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_L
