Label,Min,Average,90% Line,Max,# Samples,failure,test
TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_S,10.886,12.479,12.829,14.77,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_S
TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_XL,0.31,0.401,0.413,0.58,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_06_insuredPage_SelectBrokerCode_XL
TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_M,1.459,1.801,2.439,2.596,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_M
TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_S,1.41,2.147,2.529,4.366,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_S
TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_L,10.891,12.394,12.836,14.539,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_L
TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_XL,11.305,14.225,16.744,18.703,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_08_insuredPage_Clicksave_XL
TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_M,1.42,1.697,1.756,3.351,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_M
TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_S,1.458,1.726,1.884,2.331,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_S
TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_L,1.518,1.988,2.249,2.465,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_L
TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_XL,1.467,1.531,1.567,1.584,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_10_RatingPage_Selectyearbuilt_XL
TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_M,1.274,1.633,1.681,3.442,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_M
TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_S,1.389,1.638,1.552,2.563,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_S
TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_L,1.418,1.649,1.762,2.091,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_L
TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_XL,1.416,1.672,1.785,2.392,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_10A_RatingPage_SelectpreviousInsurer_XL
TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_M,4.444,4.71,4.909,5.368,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_M
TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_S,4.273,4.417,4.516,4.53,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_S
TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_L,1.411,1.481,1.514,1.555,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_L
TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_XL,1.493,1.553,1.544,1.694,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_11_RatingPage_HomeRenovated_ClickYes_XL
TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_M,1.048,1.263,1.439,1.758,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_M
TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_S,1.089,1.248,1.317,1.723,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_S
TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_L,4.112,4.737,5.094,5.861,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_L
TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_XL,4.187,4.86,5.131,6.171,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_13_Ratingpage_ClickNext_XL
TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_M,2.949,3.313,3.603,3.978,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_M
TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_S,3.103,3.528,3.74,3.799,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_S
TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_L,1.158,1.27,1.371,1.39,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_L
TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_XL,1.092,1.199,1.274,1.3,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_XL
TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_M,1.114,1.385,1.729,1.964,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_M
TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_S,1.12,1.213,1.23,1.333,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_S
TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_L,3.213,3.645,3.927,4.698,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_L
TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_XL,3.094,3.312,3.457,3.582,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_17_coveragepage_ClickNext_XL
TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_M,1.715,2.014,2.083,3.956,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_M
TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_S,1.74,2.88,4.686,5.036,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_S
TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_L,1.176,1.434,1.334,2.41,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_L
TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_XL,1.151,1.247,1.25,1.563,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_XL
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_M,6.2,8.292,12.182,15.568,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_M
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_S,5.898,6.768,6.911,8.459,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_S
TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_L,1.731,1.87,1.913,1.953,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_L
TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_XL,1.67,1.79,1.811,1.927,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_19_Detailspage_ClickViewAdditionalCredits_XL
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_M,3.991,4.767,5.339,5.981,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_M
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_S,4.18,4.596,4.942,5.12,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_S
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_L,3.131,6.327,7.074,7.711,6,1,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_L
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_XL,6.078,8.379,7.678,16.24,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_XL
TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_M,2.885,4.978,6.21,12.658,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_M
TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_S,3.811,4.421,4.368,6.39,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_S
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_L,3.77,4.833,5.278,6.309,5,0,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_L
TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_XL,4.231,4.784,5.35,5.531,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_22_Detailspage_ClickNext_QuotepageLoad_XL
TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_M,3.101,4.625,6.118,6.845,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_M
TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_S,3.525,4.975,6.036,6.153,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_S
TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_L,2.882,4.318,5.352,6.215,5,0,TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_L
TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_XL,3.016,3.661,3.664,5.346,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_24_Quotesummarypage_ClickNext_XL
TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_M,0.624,0.945,1.666,1.827,12,0,TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_M
TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_S,0.629,0.755,0.82,1.022,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_S
TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_L,3.706,5.888,8.48,8.7,5,0,TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_L
TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_XL,3.067,4.976,5.044,8.418,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_26_Prepackage_Clickcreatepackage_XL
TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_L,0.727,0.813,0.876,0.921,5,0,TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_L
TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_XL,0.74,0.874,0.91,1.184,6,0,TC02_PCG_External_QuoteExistingCustomer_HO_27_Prepackage_createpackage_clickclose_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_L,0.434,0.533,0.651,0.663,8,0,TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_L
TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_XL,0.487,0.667,0.849,0.849,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_L,1.34,1.9,2.073,2.579,8,0,TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_L
TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_S,0.446,0.54,0.655,0.728,8,0,TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_S
TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_XL,1.188,1.289,1.362,1.362,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_S,0.924,1.609,1.974,2.551,8,0,TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_S
TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_L,5.988,7.138,7.742,8.481,8,0,TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_L
TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_M,0.442,0.517,0.521,0.63,5,0,TC03_PCG_External_QuoteExistingCustomer_PEL_02_SearchCustomerID_M
TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_XL,6.109,7.159,7.78,7.78,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_S,6.486,7.556,8.094,8.202,8,0,TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_S
TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_L,8.172,12.038,14.503,14.598,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_L
TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_M,1.402,2.16,2.49,2.73,5,0,TC03_PCG_External_QuoteExistingCustomer_PEL_03_SelectCustomer_M
TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_XL,8.521,10.034,11.483,11.483,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_L,1.463,1.777,2.04,2.135,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_L
TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_S,8.659,10.376,10.725,16.844,8,0,TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_S
TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_M,5.925,6.877,7.204,7.885,5,0,TC03_PCG_External_QuoteExistingCustomer_PEL_04_SelectProductandclick_save&continue_M
TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_XL,1.496,1.836,2.371,2.371,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_L,3.046,3.542,4.111,4.262,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_L
TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_S,1.456,1.963,2.438,3.134,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_S
TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_XL,2.757,2.965,3.087,3.087,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_M,8.512,10.98,13.853,14.982,5,0,TC03_PCG_External_QuoteExistingCustomer_PEL_07_Insuredpage_Clicksave&continue_M
TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_L,2.273,5.118,11.266,11.57,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_L
TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_S,2.819,3.324,3.766,4.42,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_S
TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_XL,2.137,2.3,2.555,2.555,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_M,1.416,1.595,1.576,1.989,5,0,TC03_PCG_External_QuoteExistingCustomer_PEL_08A_ratings_enterdetails_Clicksave_M
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_L,5.249,5.845,6.36,6.366,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_L
TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_S,2.12,2.728,3.151,4.094,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_S
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_XL,5.07,5.574,6.286,6.286,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_M,3.007,3.353,3.278,4.072,5,0,TC03_PCG_External_QuoteExistingCustomer_PEL_09_ratings_Clicknext_M
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_L,3.069,4.204,5.037,5.936,6,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_L
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_S,4.952,5.789,6.7,6.913,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_S
TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_M,2.233,2.496,2.766,2.766,4,0,TC03_PCG_External_QuoteExistingCustomer_PEL_10A_Coverages_Clicknext_M
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_XL,3.124,3.755,4.281,4.281,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_L,2.7,5.086,5.269,9.707,6,0,TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_L
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_S,2.783,3.544,4.262,4.285,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_S
TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_XL,3.352,3.873,4.17,4.17,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_M,5.158,5.607,5.897,5.897,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_M
TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_L,2.038,4.564,5.551,9.714,6,0,TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_L
TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_S,3.268,4.561,5.387,7.35,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_S
TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_XL,1.841,3.319,4.136,4.136,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_M,2.839,6.337,13.157,13.157,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_12_Details_ClickNext_QuotePageLoad_M
TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_L,0.668,1.478,1.681,3.548,6,0,TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_L
TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_S,1.75,5.068,9.752,10.582,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_S
TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_XL,0.642,0.805,0.916,0.916,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_XL
TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_M,2.242,6.121,10.655,10.655,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_13_Quotepage_Clicknext_M
TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_S,0.601,1.452,2.14,4.032,7,0,TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_S
TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_M,2.418,4.529,6.865,6.865,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_15_Prepackage_CreateQuotepackage_M
TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_M,0.633,1.135,1.771,1.771,3,0,TC03_PCG_External_QuoteExistingCustomer_PEL_16_Prepackage_Clickclose_M
TC01_ExternalLogout,0.263,0.37,0.404,2.331,1226,0,TC01_ExternalLogout
TC04_PCG_External_QuoteExistingCustomer_Collections_02_SearchCustomerID_M,0.424,0.516,0.651,0.651,3,0,TC04_PCG_External_QuoteExistingCustomer_Collections_02_SearchCustomerID_M
